Designator,Group,Qty,Footprint,Value,Assembly,Supply,JLCPCB,Part to fit,Recommended
GND1,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND2,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND3,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND4,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND5,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND6,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND7,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND8,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND9,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND10,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND11,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
GND12,slot-ground-socket,12,BreadModular_MISC:Power_Connector,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes, insulator height >= 6.5 mm.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
INPUT1,aux-input-socket,1,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,Conn_01x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 1x05 2.54 mm socket, top entry, square holes.",C2897368 / PM254-1-05-Z-8.5 (HCTL)
5V14,power-expansion-socket,1,Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical,Conn_02x05_Socket,hand-solder,user-supplied,excluded (through hole),"FEMALE 2x05 2.54 mm socket, top entry, square holes.","C2897425 / PM254-2-05-W-8.5 (HCTL) - verify hole direction and height, or any 2x05 2.54 mm female socket"
J7,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J8,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J9,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J10,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J11,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J12,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J13,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J14,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J15,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J16,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J17,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J18,rail-select-header,12,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,Conn_01x02,hand-solder,order separately,excluded (through hole),"C2905948 / PZ200-1-02-Z (HCTL) - male 2.00 mm header. Correct gender, part number kept in the BOM.",
J1,audio-jack,4,BreadModular_AudioJacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,LineOut,hand-solder,user-supplied,excluded (through hole),WQP-PJ366ST (QingPu); schematic LCSC field is already NOT-JLC.,
J2,audio-jack,4,BreadModular_AudioJacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,Ground,hand-solder,user-supplied,excluded (through hole),WQP-PJ366ST (QingPu); schematic LCSC field is already NOT-JLC.,
J4,audio-jack,4,BreadModular_AudioJacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,Ground,hand-solder,user-supplied,excluded (through hole),WQP-PJ366ST (QingPu); schematic LCSC field is already NOT-JLC.,
J6,audio-jack,4,BreadModular_AudioJacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical,HeadphoneOut,hand-solder,user-supplied,excluded (through hole),WQP-PJ366ST (QingPu); schematic LCSC field is already NOT-JLC.,
RV1,panel-pot,2,BreadModular_Pots:Potentiometer_RV09,50k,hand-solder,user-supplied,excluded (through hole),RV09-50K; schematic LCSC field is already NOT-JLC.,
RV2,panel-pot,2,BreadModular_Pots:Potentiometer_RV09,50k,hand-solder,user-supplied,excluded (through hole),RV09-50K; schematic LCSC field is already NOT-JLC.,
